,Title,Body,Rating
0,"
Really nifty product for someone who works from home.
","

  Since I work from home, I often bring my work with me on the road. I may go stay with my family for a week or so every couple months, and I really needed a portable second monitor that I could easily plug into my laptop.This monitor looks really slick, and the picture is great. The “magnetic mat” that it comes on is really easy to use once you get used to it.I couldn’t find this in the product description, but it does come with cables. It comes with a power adaptor and a USB-C to USB-A cable that acts as the power source. It also comes with a USB-C to USB-C cable. It comes with a mini-HDMI to HDMI cable as well, which is what I’m using to connect it to my laptop.One thing to note is that if you’re using USB-C to USB-C, then if the device it’s plugged into can provide the necessary power, then it doesn’t need to be plugged into a power source. If you’re using HDMI, however, then it also needs to be plugged into a power source, or the wall. I’ll also note that all of the cables provided are 3ft cables, so if you need something longer you’ll have to get it separately; which isn’t a big deal.

",5.0
1,"
Super lightweight! Very clear image!
","

  Pros and ConsPros:*Excellent screen image. 1080P FHD, 178° viewing angles bring me an excellent experience! HDMI ports guarantee the input is high quality.* Inbuilt dual stereo speakers sound not bad! I used it when I use my phone to look at news/videos.* 2 USB-C ports, Mini-HDMI ports, can work with new type smartphone, computer, PS4, XBOX, and Switch very well.* Screen Protector materials are good. The pictures I add here don't use their protector screen materials. If I use it, I guess you will see a better image.* Plug and play capability, no drivers required* Beautiful packagecons:The only one disadvantage is my old iPhone needs to buy an adapter to connect this monitor. The good thing is that the adapter is cheap.Overall, I love this monitor!

",5.0
2,"
The perfect monitor in mind
","

  What a coincidence! I just want to write about my experiences in these ten days. Today I found out that Amazon sent me an email asking me for a review.The overall situation is very good. I used to go to the hotel to work on TV when I was on business trips. Now all I have to do is plug in my computer and work in bed. 15.6 is the perfect size for my backpack.The amazing thing is That I tried to plug it into my power bank and it started up just fine. In my spare time, I use it to watch movies and play games. It's so light and small that I like it.

",5.0
3,"
This monitor can not be used to stream most video content and the volume control is useless
","

  I bought this to use on our stationary bike. The plan was to stream YouTubeTV, Netflix, Work Out apps and other streaming services from my iPhone while working out. We wanted a bigger screen than what is available on an iPad. Turns out you can stream YouTube but that's about it.  Most of those other services are blocked when you try to stream them. I think it has to do with encoding of copyrighted material and this monitor not being HDCP compliant. I asked the seller but there seems to be a bit of a language barrier. Based on their answers they clearly didn’t  understand my question.Another issue I found is that the scroll wheel on the side can be used to change speaker volume but only if you drill into the menus every single time you want to adjust the volume. Otherwise the scroll wheel by default adjusts the screen brightness. There does not seem to be any way to set it to adjust the volume by default which I find to be an odd setup and very inconvenient. I connected an external speaker that I had through the aux port but oddly when I did that the volume controls on the speaker became inoperable so still no easy way to control the volume on this monitor. Im going to try and find an external speaker with an inline volume control but this is a pretty annoying problem for our application or for anyone who wants to use this as a stand alone monitor connected to any source of content. If you are looking  for an extra screen for your computer or laptop it may be fine but why have built in speakers if you can’t control the volume??Addendum: The seller got back to me and pointed out that if you push the scroll wheel up instead of down it will default to the volume control so that solves the volume control issue. in regards to the issue of not being able to stream most paid services from the iPhone I discovered that you can actually stream to this device from Apple TV, Roku, and Firestick despite the fact that the service people said that was not possible. I am don't know what the explanation is but you can stream paid streaming services like Netflix, YouTube TV, etc from those devices to this screen without any difficulty and they actually look great.

",3.0
4,"
LOVE it
","

  I love this portable screen. it workes great. I run a lot of programs on my laptop and this extra screen space really helps. Great display and workes perfectly when connected. no setting to play with. I highly recommend it. I just wish it didnt have to be plugged into a power source and could run from the computer power.  other than that. I'm in love.

",5.0
5,"
A perfect travel monitor
","

  Light weight and a very nice display. I don't use for gaming, I use for business analysis, and it's perfect.From what other users have written: the monitor stand is excellent IF you correctly fold it.  The pictures in the instructions aren't very clear, and it took some time, but once I got it figured out, it's rock solid.  If the monitor isn't solid, you don't have the case properly folded. The case also provides adequate protection for when the monitor is stored in a briefcase.I am using the HDMI input. The USB-C didn't work from my HP Envy laptop (I got a message ""did not recognize the device"").  I think I have USB-C v1.0, so that is probably why. The nice thing with C is you don't also need the power cord, but you do need it with HDMI. Not a big deal.I have zero complaints with the monitor and would buy another one if I needed it

",5.0
6,"
GREAT PORTABLE MONITOR, BUT DITCH THE SCREEN PROTECTOR
","

  This is a sharp little portable monitor that is ideal for travel and fits neatly into a backpack. It comes with a protective cover that uses magnets to affix to the monitor. The cover can then be folded into a stand that supports the monitor. The colors are vivid and the resolution is excellent. The screen is only 15.6”, but this is no smaller than a MacBook and perfectly suitable for my work-travel needs. Setup is easy. The unit possesses an elegant simplicity. Even the box it comes in is impressive, almost an art object.My one caveat: discard the screen protector and “cleaning kit” that supposedly assists with its installation. The “wet cleaner” left cloudy residue on the screen that the teeny microfiber cloth wouldn’t remove. As for the flimsy protector, you’ll just never get all the bubbles out. The only thing that all the time I spent trying to get it to lay flat accomplished was to remove the aforementioned gunk. So take my advice: leave the screen in its pristine state and toss the screen protector and “kit,” because the folding cover is plenty protective.

",5.0
7,"
Perfect size for my project, and excellent quality for the price.
","

  I bought this to retrofit in a metal briefcase I had laying around, along with a keyboard, an old steam-link, and a slot for my phone (to act as computer and TouchPad via Samsung DEX)For the price of this screen alone, I was basically able to build a full fledged gaming laptop powered by a standard battery bank.Since I didn't see any mention if it in the description, the power required is 5v 2.4a and so a measly 10,000mAh power bank will run it for about 4 hours.It comes with a screen projector, the magnetic stand/cover, and 3 sets of cables. A USB C Male -> USB C Male (for phone or laptop display output), USB A Male -> USB C Male (For power input), a power brick, and a HDMI Male -> HDMI MINI Male (for all other display input needs)

",5.0
8,"
A well built portable monitor for those on a budget.
","

  First off, this is not the best portable monitor out there, but it's great if you're on a budget and plan to work outside the realm of audiovisual projects.  If you're used to a multi-monitor setup in the office or at home, you know how frustrating it can be when you're stuck with a single laptop monitor working remotely.  This is a decent solution without breaking the bank, but there are some caveats.  Overall picture quality is pretty decent, but the color range is limited and it's not the brightest option you can find.  You'll absolutely want to tweak the settings to optimize your visuals.  I definitely wouldn't use it for serious photo or video editing, but watching movies or using it as a portable gaming monitor is definitely doable.  Sound is seriously lacking with its on-board speakers, so you'll likely want to route your audio through your laptop speakers or headphones/bluetooth.  Menu controls are a little finicky at first, but completely serviceable once you get the hang of it.  For my usual office work, which is mostly spreadsheets, documents, CAD drawings, and the occasional photo cropping, it definitely does the job.  I can't say much about longevity since I'm new to this brand, but my experience has been great so far.  If you're in the market, this one is worth checking out.

",4.0
9,"
Nice for the price
","

  It's a basic 1080p 60Hz monitor that works as advertised.  I'm using mine as a display for my Raspberry Pi 400.- The screen is not super bright, but ""bright enough""- The resolution is not super high, but good enough, especially on a 15"" display- It comes in nice packaging- The 5V input is convenient and doesn't take much power (< 2A)- Both HDMI and USB-C inputs are supported.- There are two USB-C ports and one is power-only - it would be nice if they were labeled.- One con is that you have to menu dive a bit to change the sound volume, assuming you can't do it from the connected device.

",5.0
