Aerolinea;Horario;Precio;Escalas;Links
Viva Air Colombia;14:35-16:23;276700.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.7447.6708f5346c13a67ac333f8e096df6e59&h=e5b1a05d55f9&sub=E-1cf31d818ad&pageOrigin=F..RP.MB.M0
Viva Air Colombia;13:23-15:13;276700.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.7447.468c538c47531d6dabe01c831fe64a17&h=a8aca38a5d96&sub=E-1cf31d818ad&pageOrigin=F..RP.MB.M2
LATAM Airlines, Viva Air Colombia;14:14-15:59;289996.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.iPJIaPv5Rj5w1Q3KrTU5Gg.7431.aadb905f666c575cc06e89c11fc1291c&h=9b19f005a87f&sub=E-1a246156172&pageOrigin=F..RP.MB.M3
LATAM Airlines, Viva Air Colombia;12:59-14:44;293100.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.at4SvWZdFlyGy067RMvLrg.8441.647a2a1776042c1ed0844fbdfc5b2245&h=111c233aa826&_kw_pbranded=true&sub=E-1217e7e5e99&pageOrigin=F..RP.MB.M4
LATAM Airlines;12:59-14:44;318875.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.eb5e8869d7ebd94e73909727951e01a1&h=367485e0cce5&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M2
LATAM Airlines;12:59-14:44;318875.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.c6c8cf85b818b655c85d0d8bd976133f&h=a88945bf848d&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M12
LATAM Airlines;14:14-15:59;319551.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.a54264d51dc5918867b56dc6499d2e68&h=a71b00f51efb&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M13
LATAM Airlines;14:14-15:59;319551.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.bcbc907854c00446945dfc530e7536ec&h=11dcb0f78998&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M3
LATAM Airlines, Viva Air Colombia;11:09-12:54;324800.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.at4SvWZdFlyGy067RMvLrg.9287.9fef499d0220205b2b87ca1614138ec6&h=dffb515f148e&_kw_pbranded=true&sub=E-1217e7e5e99&pageOrigin=F..RP.MB.M5
LATAM Airlines;14:14-15:59;326533.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.f7e3eca168d359d79625f24a19e903c5&h=2bd7f731bc7f&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M14
