horario,precio,aerolinea,paradas,enlace
17:31-19:19,248100.0,Viva Air Colombia,directo ,https://www.kayak.com.co/s/clickthrough.jsp?ctyp=SponsoredResultAdBooking&ptyp=F&orig=F..RP..M1&plid=9958709&pid=VivaSponsoredCOL_FSR_es_CO&prv=VivaSponsoredCOL_FSR_es_CO&srch=SmBiI41qVz&ploc=es_CO&atype=SponsoredResult&prc=248100.00&cpnid=7074944&xpExt=&aidExt=&lid=VivaSponsoredCOL_FSR_es_CO-SmBiI41qVz&qorig=Airport:MDE&octid=&qdest=Airport:ADZ&qstart=1653278400000&qend=1653624000000&qtravelers=1&qrooms=0&qow=false&qfcc=e&qdctid=48144&qdac=ADZ&qshour=-1&qehour=-1&qns=false&qnearby=0&qnearbyo=false&qnearbyd=false&pj=HU$JgOvNA3fOpd_nKaw68w==&ah=gMi7dE2f6big5axBqXDvYw8Yie4fR03_cF8Njxr4aE0&resid=4d4902559b30f428aeca146882cc80d2&bookid=E-1b9a68d5f67&seekProv=VH&trueProv=VH&fid=&rank=1&stid=&qadults=1&qchild=0&_sid_=R-47$NBtdaZiSj3o$HAPQbM-JdT4URbpPCrbgXV6jl93MJF8WqzoJ1huVyflz15EU&pageOrigin=F..RP.MB.M1
17:31-19:19,248100.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.6278.4d4902559b30f428aeca146882cc80d2&h=d211f46c035c&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M0
17:31-19:19,247800.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
19:00-20:48,248100.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.6278.1999297af64ef9893c455fc8d4574483&h=905e905baa53&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M2
17:31-19:19,284550.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.7200.9966c1d3c802f8ad0d91a0b6ec3775bb&h=e041f5656b4b&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M3
19:00-20:48,284550.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.7200.318b315039ac63fc0c15103496993958&h=f8de31e20723&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M4
14:45-16:30,383100.0,LATAM Airlines,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lHY-qcduzooKCwPwRb8L4Q.9693.e8dfeae86344166f7a5ce84ddb44e82e&h=4260e1ca93a8&sub=E-1b7833867a3&pageOrigin=F..RP.MB.M5
17:31-19:19,248100.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.6278.a0db939beda0e67ee0f8abcaaa940a97&h=4728b8124198&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M6
19:00-20:48,248100.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.6278.5f9ec755e31abcb0948b0d0eb0ff03b3&h=52eed39bf52a&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M7
10:55-12:43,379050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9591.be2e76f302f761c0eaa1376fcc18a252&h=8478f85d30ba&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M8
11:12-13:02,379050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9591.6fbbf21c5e87dad2c4597337d000cf5e&h=48054826630a&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M9
10:55-12:43,415500.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.10513.59839c15c2663f213bdbbcfd0315c1ba&h=efe10230ef7e&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M10
11:12-13:02,415500.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.10513.dc68262cc2fdc9f7065e749a4c1f8799&h=542bc40a8859&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M11
17:31-19:19,334050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.8452.7c8a0fc3b6aa2c7f7f94638434d33538&h=d01a9fffebc0&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M12
19:00-20:48,334050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.8452.852961148333cd9ce025eba535930b4d&h=325095fcba73&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M13
10:55-12:43,379050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9591.06091b6aeeaddffd91ba7504002bb2f7&h=c3c451d79f33&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M14
11:12-13:02,379050.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.9591.fd58e3f4ee655794dfe2c85fdf611099&h=e71be5eff67c&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M15
10:55-12:43,465000.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.11765.25b31e5a2ffc08c2c8934c5b3b8a508c&h=6091647c49ce&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M16
19:00-20:48,247800.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
11:12-13:02,465000.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.11765.efa8dabca6051f15e1cfeb26ae33c1a7&h=1919a792ad9d&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M18
17:31-19:19,308300.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
19:00-20:48,308300.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
19:00-20:48,247800.0,"Viva Air Colombia, LATAM Airlines",directo ,https://www.kayak.com.cojavascript:void(0)
11:12-13:02,465000.0,Viva Air Colombia,directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.11765.efa8dabca6051f15e1cfeb26ae33c1a7&h=1919a792ad9d&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M32
11:23-13:08,485650.0,"LATAM Airlines, Viva Air Colombia",directo ,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.12288.ce43a46d15507d7f7a83d0ef0f2fd441&h=cca37f2e1aec&sub=E-11c2338feb2&pageOrigin=F..RP.MB.M33
