Title,Type,Price,Score,Link
Tropical Breeze Aeropuerto,Habitación Doble Estándar,1333800,"9,0",https://www.booking.com/hotel/co/tropical-breeze-aeropuerto.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=444604301_133315399_2_0_0&highlighted_blocks=444604301_133315399_2_0_0&matching_block_id=444604301_133315399_2_0_0&sr_pri_blocks=444604301_133315399_2_0_0__133380000&from=searchresults#hotelTmpl
Inn Bless Aparthotel,Habitación Doble con baño privado,1032760,"8,0",https://www.booking.com/hotel/co/inn-bless-apartment.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=230650403_99951873_2_0_0&highlighted_blocks=230650403_99951873_2_0_0&matching_block_id=230650403_99951873_2_0_0&sr_pri_blocks=230650403_99951873_2_0_0__103275000&from=searchresults#hotelTmpl
Decameron Isleño - All Inclusive,Habitación Doble,8347600,"7,6",https://www.booking.com/hotel/co/el-islea-o-by-decameron.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=81701302_335401155_2_85_0&highlighted_blocks=81701302_335401155_2_85_0&matching_block_id=81701302_335401155_2_85_0&sr_pri_blocks=81701302_335401155_2_85_0__834758200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Apartamentos Katy,Apartamento de 2 dormitorios,1620000,"9,0",https://www.booking.com/hotel/co/apartamentos-katy.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=159532607_98634674_5_0_0&highlighted_blocks=159532607_98634674_5_0_0&matching_block_id=159532607_98634674_5_0_0&sr_pri_blocks=159532607_98634674_5_0_0__162000000&from=searchresults#hotelTmpl
Posada Turística Miss Geidy,Habitación Triple Básica,1080000,"8,6",https://www.booking.com/hotel/co/posada-nativa-miss-geidy.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=100600003_295577857_0_0_0&highlighted_blocks=100600003_295577857_0_0_0&matching_block_id=100600003_295577857_0_0_0&sr_pri_blocks=100600003_295577857_0_0_0__108000000&from=searchresults#hotelTmpl
SWEET BREEZE,Apartamento de 1 dormitorio,1074000,"9,7",https://www.booking.com/hotel/co/sweet-breeze.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=682342301_279064315_2_0_0&highlighted_blocks=682342301_279064315_2_0_0&matching_block_id=682342301_279064315_2_0_0&sr_pri_blocks=682342301_279064315_2_0_0__107400000&from=searchresults#hotelTmpl
White Coral ApartaSuites,Suite Junior de 1 dormitorio ,3584880,"8,6",https://www.booking.com/hotel/co/red-coral-aparta-suites.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=120240502_89189688_2_0_0&highlighted_blocks=120240502_89189688_2_0_0&matching_block_id=120240502_89189688_2_0_0&sr_pri_blocks=120240502_89189688_2_0_0__358487250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Apartamento Miss Brigida,Apartamento 22 ,1680000,"8,7",https://www.booking.com/hotel/co/apartamento-miss-brigida.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=85765714_335402365_2_0_0&highlighted_blocks=85765714_335402365_2_0_0&matching_block_id=85765714_335402365_2_0_0&sr_pri_blocks=85765714_335402365_2_0_0__168000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Danishas Place,Apartamento - Planta baja,3360000,"9,4",https://www.booking.com/hotel/co/danishas-place.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=230429301_126513851_6_0_0&highlighted_blocks=230429301_126513851_6_0_0&matching_block_id=230429301_126513851_6_0_0&sr_pri_blocks=230429301_126513851_6_0_0__336000000&from=searchresults#hotelTmpl
SERENA GUEST HOUSE (PLAYA),Apartamento,5199000,Sin puntos,https://www.booking.com/hotel/co/serena-guest-house-playa.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=830547101_349938904_10_0_0&highlighted_blocks=830547101_349938904_10_0_0&matching_block_id=830547101_349938904_10_0_0&sr_pri_blocks=830547101_349938904_10_0_0__519900000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
HERMOSO APARTAMENTO CARAMEL,Apartamento de 2 dormitorios,1918800,Sin puntos,https://www.booking.com/hotel/co/hermoso-apartamento-caramel.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=825617601_346990689_2_0_0&highlighted_blocks=825617601_346990689_2_0_0&matching_block_id=825617601_346990689_2_0_0&sr_pri_blocks=825617601_346990689_2_0_0__191880000&from=searchresults#hotelTmpl
posada shang giovis rincon,Habitación Familiar con baño privado,1680000,Sin puntos,https://www.booking.com/hotel/co/posada-shang-giovis-rincon.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-01&checkout=2022-06-07&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=distance_from_search&srpvid=22756e90660702ab&srepoch=1651592610&all_sr_blocks=845574501_351523320_2_0_0&highlighted_blocks=845574501_351523320_2_0_0&matching_block_id=845574501_351523320_2_0_0&sr_pri_blocks=845574501_351523320_2_0_0__168000000&from=searchresults#hotelTmpl
