Titulos;Ciudad;Puntuacion;Tipo;Precio;Impuesto;Enlace
Inn Bless Aparthotel;San Andrés;8,2;Habitación Doble con baño privado;1012500;Incluye impuestos y cargos;https://www.booking.com/hotel/co/inn-bless-apartment.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=0&hapos=0&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=230650403_270083997_2_2_0&highlighted_blocks=230650403_270083997_2_2_0&matching_block_id=230650403_270083997_2_2_0&sr_pri_blocks=230650403_270083997_2_2_0__101250000&from=searchresults&map=1
Apartamentos Yinnam Arrieta;San Andrés;9,0;Apartamento;1137500;+ COP 143.760 de impuestos y cargos;https://www.booking.com/hotel/co/apartamento-yinnam-arrieta-301.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=225113902_135804750_2_0_0&highlighted_blocks=225113902_135804750_2_0_0&matching_block_id=225113902_135804750_2_0_0&sr_pri_blocks=225113902_135804750_2_0_0__113750000&from=searchresults&map=1
down town apartamento;San Andrés;4,7;Habitación Cuádruple Clásica;1650000;Incluye impuestos y cargos;https://www.booking.com/hotel/co/sarie-bay-down-town-apartamentos.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=718719502_305217905_4_0_0&highlighted_blocks=718719502_305217905_4_0_0&matching_block_id=718719502_305217905_4_0_0&sr_pri_blocks=718719502_305217905_4_0_0__165000000&from=searchresults&map=1
Room in Apartment - Green Sea Villa Helen Inn located at Kilometer 4 Circunvalar;San Andrés;Sin puntos; Habitación Doble;1042800;Incluye impuestos y cargos;https://www.booking.com/hotel/co/room-in-apartment-green-sea-villa-helen-inn-located-at-kilometer-4-circunvalar.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=693297202_328977411_2_0_0&highlighted_blocks=693297202_328977411_2_0_0&matching_block_id=693297202_328977411_2_0_0&sr_pri_blocks=693297202_328977411_2_0_0__104279000&from=searchresults&map=1
Apartamentos Martinez;San Andrés;8,5;Apartamento de 1 dormitorio;2250000;Incluye impuestos y cargos;https://www.booking.com/hotel/co/apartamentos-martinez.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=195843805_338591498_5_0_0&highlighted_blocks=195843805_338591498_5_0_0&matching_block_id=195843805_338591498_5_0_0&sr_pri_blocks=195843805_338591498_5_0_0__225000000&from=searchresults&map=1
Hostal Marlyn;San Andrés;9,3;Habitación Doble Estándar;1500000;Incluye impuestos y cargos;https://www.booking.com/hotel/co/hostal-marlyn.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=162706901_274262516_2_0_0&highlighted_blocks=162706901_274262516_2_0_0&matching_block_id=162706901_274262516_2_0_0&sr_pri_blocks=162706901_274262516_2_0_0__150000000&from=searchresults&map=1
Apartamento Frente al Mar en el Sunrise San Andres;San Andrés;Sin puntos;Apartamento de 2 dormitorios;8529760;+ COP 762.380 de impuestos y cargos;https://www.booking.com/hotel/co/apartamento-frente-al-mar-en-el-sunrise-san-andres.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=732290001_326481443_6_0_0&highlighted_blocks=732290001_326481443_6_0_0&matching_block_id=732290001_326481443_6_0_0&sr_pri_blocks=732290001_326481443_6_0_0__852975000&from=searchresults&map=1
Casa con Piscina para Grupos en San Andrés;San Andrés;Sin puntos;Apartamento de 2 dormitorios;9648000;+ COP 951.840 de impuestos y cargos;https://www.booking.com/hotel/co/alojamiento-para-grupos-en-san-andres.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=576320701_243666041_10_0_0&highlighted_blocks=576320701_243666041_10_0_0&matching_block_id=576320701_243666041_10_0_0&sr_pri_blocks=576320701_243666041_10_0_0__964800000&from=searchresults&map=1
Cabaña Vacacional con Piscina en San Andres;San Andrés;Sin puntos;Apartamento de 2 dormitorios;9648000;+ COP 851.840 de impuestos y cargos;https://www.booking.com/hotel/co/cabana-vacacional-con-piscina-en-san-luis.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=575963901_243666045_10_0_0&highlighted_blocks=575963901_243666045_10_0_0&matching_block_id=575963901_243666045_10_0_0&sr_pri_blocks=575963901_243666045_10_0_0__964800000&from=searchresults&map=1
Apartamento Vacacional con Piscina en San Andres;San Andrés;Sin puntos;Apartamento de 2 dormitorios;7897500;+ COP 711.800 de impuestos y cargos;https://www.booking.com/hotel/co/apartamento-vacacional-con-piscina-en-san-andres.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-01-10&checkout=2022-01-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9d915a5ba0cf0311&srepoch=1638795065&all_sr_blocks=732480401_326536230_6_0_0&highlighted_blocks=732480401_326536230_6_0_0&matching_block_id=732480401_326536230_6_0_0&sr_pri_blocks=732480401_326536230_6_0_0__789750000&from=searchresults&map=1
