Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Thu Dec 16 22:12:04 +0000 2021;12960.0;1422.0;;América Socialista;1471604062357540873;"Al salario mínimo le aumentaron 10 puntos. Pueda ser que Duque no le aplique el mismo aumento al salario de sus Consejeros y Ministros. 
Ojalá las Cámaras de Comercio, donde sus Directores ganen más de 30  millones $, tampoco aumenten 10 puntos. 
Sería injusto";lhleons;2169171726.0;Luz Haydde León;0.0;;[]
Thu Dec 16 22:12:03 +0000 2021;16965.0;4246.0;;En algún lugar de la Costa;1471604060176490497;"Policía uso la violencia sexual como castigo e intimidación según la ONU.

Así se resumen la política de la seguridad de Ivan Duque y política de la Bogotá segura. https://t.co/1eChLoWof2";Moncho281;1.2593545789292995e+18;MonchoMatias;0.0;;[]
Thu Dec 16 22:11:54 +0000 2021;118.0;1497.0;;;1471604021291098116;"El Gobierno de Colombia firmó un Memorando de entendimiento con Providence y VaxThera con el objetivo de generar el desarrollo de vacunas en nuestro país.
https://t.co/wUsrp6UI6E";NightingaleYor1;1258415293.0;Nightingale Yore;0.0;;[]
Thu Dec 16 22:11:50 +0000 2021;34130.0;124.0;;Bogotá, D.C., Colombia;1471604003888848909;Es inaudito que uno de las pocas cosas que había funcionado bien durante décadas, la expedición de pasaportes, bajo el inepto Duque hayan logrado dañarla. Hay que ser muy incompetente e irresponsable para destruir lo que durante tanto tiempo se había hecho de manera eficiente.;chokogabo16;7.242994396162212e+17;Gabriel Perdomo;0.0;;[]
Thu Dec 16 22:11:48 +0000 2021;21356.0;3018.0;;;1471603995408019466;"Álvaro Uribe denuncia a Juan Manuel Santos, por comunicarse con un Magistrado para que el patrón se mantuviera  como imputado.
Señor imputado, porqué no hace publico que César Gaviria e Iván Duque, también se comunicaron con Magistrados,  para que votarán a su favor?";joregam;227692415.0;Jorge;0.0;;[]
Thu Dec 16 22:11:44 +0000 2021;134814.0;7785.0;https://t.co/Iso3lMECWE;Bogotá, D.C., Colombia;1471603979201269765;La ONU responsabilizó al gobierno Colombiano de 28 muertes durante el Paro Nacional. Duque y Molano tampoco acataron las 41 recomendaciones que dió la CIDH en su informe. Hoy el mundo entero le insiste a Colombia que separe la Policía del Ministerio de Defensa y reforme el ESMAD. https://t.co/oOmPxwHybN;oskarciber;400466210.0;OSCAR RODRIGUEZ;0.0;;[]
Thu Dec 16 22:11:43 +0000 2021;113.0;3055.0;https://t.co/DBUn74mmhR;Bogotá DC.;1471603974151278594;;auribevoz;351651007.0;Álvaro Uribe;0.0;;[{'url': 'https://t.co/gSYjDsRjX3', 'expanded_url': 'https://twitter.com/i/web/status/1471603974151278594', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]
Thu Dec 16 22:11:37 +0000 2021;114429.0;1653.0;;;1471603951489409025;"Álvaro Uribe denuncia a Juan Manuel Santos, por comunicarse con un Magistrado para que el patrón se mantuviera  como imputado.
Señor imputado, porqué no hace publico que César Gaviria e Iván Duque, también se comunicaron con Magistrados,  para que votarán a su favor?";SergioAHenaoO;140605755.0;SERGIO ALEJANDRO;0.0;;[]
Thu Dec 16 22:11:33 +0000 2021;43.0;30.0;;;1471603935555301388;;AlfonsoBulla5;1.4581838548381245e+18;Alfonso Bulla;0.0;;[{'url': 'https://t.co/tKFUpYCd5P', 'expanded_url': 'https://twitter.com/i/web/status/1471603935555301388', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [105, 128]}]
Thu Dec 16 22:11:21 +0000 2021;51520.0;1043.0;;;1471603883403264005;"Karen Abudinen e Iván  Duque,  ya recuperaron los 70 mil millones del Mintic?
Ustedes lo dijeron:
 ""En días recuperamos la plata""";Apalo1970;403746046.0;ADALBERTO PALACIOS L;0.0;;[]
