Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Fri Dec 17 16:59:39 +0000 2021;29693.0;730.0;;;1471887829122830348;"Iván Duque saca pecho y habla de un ""hecho histórico"" porque subió el salario mínimo a $1.000.000 de pesos, lo que no le dice a la gente es que tenemos el salario más bajo de toda la región. ¡Ay Presidente! No le siga mintiendo al país. ¡Respete!";Lordalvaro3;1.3830919371425219e+18;Lord alvaro;0.0;;[]
Fri Dec 17 16:58:37 +0000 2021;32753.0;544.0;;Medellin,Colombia;1471887570435031044;"La responsabilidad del papá de Iván Duque en el desastre de Armero
https://t.co/70DMWdKyLG";GerardoASalaza3;8.98347174341333e+17;Gerardo A Salazar h.;0.0;;[{'url': 'https://t.co/70DMWdKyLG', 'expanded_url': 'https://pluralidadz.com/nacion/la-responsabilidad-del-papa-de-ivan-duque-en-el-desastre-de-armero/', 'display_url': 'pluralidadz.com/nacion/la-resp…', 'indices': [84, 107]}]
Fri Dec 17 16:58:20 +0000 2021;14136.0;1643.0;;;1471887499463118855;"El presidente de Nicaragua, Daniel #Ortega, tacha a Colombia de “un narco-Estado” y le critica por hablar de los DD.HH. mientras registra diariamente asesinatos. 

Leer más: https://t.co/GR8cYu0hbk

#Colombia #DDHH https://t.co/2OdVqAYI5F";GregoriRasputi5;1.271527404222251e+18;Gregori Rasputin;0.0;;[]
Fri Dec 17 16:58:12 +0000 2021;80201.0;4460.0;;;1471887464734285830;"Iván Duque saca pecho y habla de un ""hecho histórico"" porque subió el salario mínimo a $1.000.000 de pesos, lo que no le dice a la gente es que tenemos el salario más bajo de toda la región. ¡Ay Presidente! No le siga mintiendo al país. ¡Respete!";Williamduquear2;1.3371933815718093e+18;@DUARVE Fuera Gobierno Corrupto;0.0;;[]
Fri Dec 17 16:57:55 +0000 2021;440.0;1274.0;;;1471887393657606150;;BiblosDelsur;1.4362902543323832e+18;Biblos DelSur;0.0;;[{'url': 'https://t.co/dRguzGmSj6', 'expanded_url': 'https://twitter.com/i/web/status/1471887393657606150', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]
Fri Dec 17 16:57:44 +0000 2021;25360.0;637.0;;Caracas, Venezuela;1471887348241678339;"Colombia: 21 militares reconocen el asesinato de 250 civiles, bajo el formato de falsos positivos, pero el que ""dio la orden sigue escondido"" y protegido por Iván Duque.";BritoLizzy;1.0518044452086456e+18;Lizzy Brito;0.0;;[]
Fri Dec 17 16:57:38 +0000 2021;86.0;1465.0;;;1471887323029725186;"La responsabilidad del papá de Iván Duque en el desastre de Armero
https://t.co/70DMWdKyLG";JorgeTavera12;9.143311068702597e+17;Jorge Tavera;0.0;;[{'url': 'https://t.co/70DMWdKyLG', 'expanded_url': 'https://pluralidadz.com/nacion/la-responsabilidad-del-papa-de-ivan-duque-en-el-desastre-de-armero/', 'display_url': 'pluralidadz.com/nacion/la-resp…', 'indices': [84, 107]}]
Fri Dec 17 16:57:36 +0000 2021;3738.0;65.0;;;1471887314527916040;;OIRAMNOHJ;931267904.0;Jhon Mario;0.0;;[{'url': 'https://t.co/C7TUGpHf5s', 'expanded_url': 'https://youtu.be/sp3CWBkK4iQ', 'display_url': 'youtu.be/sp3CWBkK4iQ', 'indices': [0, 23]}, {'url': 'https://t.co/oFwl7SWMoD', 'expanded_url': 'https://twitter.com/i/web/status/1471887314527916040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]
Fri Dec 17 16:57:31 +0000 2021;12677.0;445.0;;;1471887290863689733;A Ivan Duque le quedó grande la paz y la reconciliación de Colombia. #Balance;Velasquezpsico;203092760.0;-__-;0.0;;[]
Fri Dec 17 16:57:27 +0000 2021;27201.0;491.0;;;1471887277072826376;"Periodista deportivo Ricardo Henao, de comentar deportes a lamerle a Iván Duque
https://t.co/NUwz6TnMv7";JoseBarriosR1;1.3116708710779945e+18;José A Riquett B👹;0.0;;[{'url': 'https://t.co/NUwz6TnMv7', 'expanded_url': 'https://pluralidadz.com/economia/periodista-deportivo-ricardo-henao-de-comentar-deportes-a-lamerle-a-ivan-duque/', 'display_url': 'pluralidadz.com/economia/perio…', 'indices': [97, 120]}]
