Medicamento;Enlace;Sintomas
Inyección de hidrocortisona;https://medlineplus.gov/spanish/druginfo/meds/a682871-es.html;La inyección de hidrocortisona se usa para tratar los síntomas de los niveles bajos de corticosteroides (falta de algunas sustancias que son producidas usualmente por el cuerpo y que se necesitan para el funcionamiento normal del cuerpo). También se usa para tratar reacciones alérgicas intensas. La inyección de hidrocortisona se usa para el manejo de la esclerosis múltiple (una enfermedad en la que los nervios no funcionan correctamente), lupus (una enfermedad en la que el cuerpo ataca muchos de sus órganos), enfermedad gastrointestinal y ciertos tipos de artritis. La inyección de hidrocortisona también se usa para tratar algunas afecciones que afectan la sangre, la piel, los ojos, el sistema nervioso, la tiroides, los riñones y los pulmones. La inyección de hidrocortisona se encuentra en una clase de medicamentos llamados corticosteroides. Funciona para tratar a las personas con niveles bajos de corticosteroides al reemplazar los esteroides que el cuerpo produce naturalmente durante el funcionamiento normal. También funciona al tratar otras condiciones al reducir la inflamación y el enrojecimiento al cambiar la manera en que funciona el sistema inmunológico.
Quinapril;https://medlineplus.gov/spanish/druginfo/meds/a692026-es.html;El quinapril se usa sólo o en combinación con otros medicamentos para tratar la hipertensión. Se usa en combinación con otros medicamentos para tratar la insuficiencia cardíaca. El quinapril pertenece a una clase de medicamentos llamados inhibidores de la enzima convertidora de la angiotensina (ACE, por sus siglas en inglés). Funciona al disminuir la producción de ciertas sustancias químicas que oprimen los vasos sanguíneos, de manera de que la sangre fluya sin problemas y el corazón puede bombear más eficientemente.
Fenilefrina;https://medlineplus.gov/spanish/druginfo/meds/a606008-es.html;La fenilefrina se usa para aliviar las molestias nasales ocasionadas por los resfriados, las alergias y la fiebre del heno. También se usa para aliviar la congestión y la presión de los senos paranasales. La fenilefrina alivia los síntomas, pero no trata la causa de éstos ni acelera la recuperación. La fenilefrina pertenece a una clase de medicamentos llamados descongestionantes nasales. Actúa al disminuir la inflamación de los vasos sanguíneos en los conductos nasales.
Inhalación oral de albuterol;https://medlineplus.gov/spanish/druginfo/meds/a682145-es.html;"El albuterol se usa para prevenir y tratar la dificultad para respirar, jadeo, falta de aliento, tos y opresión en el pecho causada por enfermedades pulmonares como asma y enfermedad pulmonar obstructiva crónica (COPD, en inglés); un grupo de enfermedades que afectan los pulmones y las vías respiratorias). El aerosol de albuterol para inhalación y el polvo para inhalación oral también se usa para prevenir las dificultades para respirar cuando hace ejercicio. El aerosol de albuterol para inhalación (Proair HFA, Proventil HFA, Ventolin HFA) se usa en adultos y niños mayores de 4 años de edad. El polvo de albuterol para inhalación por vía oral (Proair Respiclick) se usa en niños mayores de 12 años de edad. La solución de albuterol para inhalación por vía oral se usa en adultos y niños mayores de 2 años de edad. El albuterol se encuentra en una clase de medicamentos llamados broncodilatadores. Funciona al relajar y abrir las vías respiratorias que van hacia los pulmones para hacer más fácil la respiración."
Perindopril;https://medlineplus.gov/spanish/druginfo/meds/a602017-es.html;El perindopril se usa solo o en combinación con otros medicamentos para tratar la hipertensión. El perindopril pertenece a una clase de medicamentos llamados inhibidores de la enzima convertidora de la angiotensina (ACE, por sus siglas en inglés). Funciona al disminuir la producción de ciertas sustancias químicas que contraen los vasos sanguíneos, de manera de que la sangre fluya sin problemas.
Acetaminofén;https://medlineplus.gov/spanish/druginfo/meds/a681004-es.html;El acetaminofén se usa para aliviar el dolor leve a dolor moderado desde dolores de cabeza, dolores musculares, períodos menstruales,resfriados y dolores de garganta, dolor de muelas dolores de espalda, reacciones a las vacunas, y para reducir fiebre. El acetaminofén puede también usarse para aliviar el dolor de osteoartritis (artritis causada por el deterioro del recubrimiento de las articulaciones). El acetaminofén se encuentra en una clase de medicamentos llamados analgésicos (calmantes para el dolor) y antipiréticos (para bajar la fiebre). Funciona al cambiar la forma en que el cuerpo siente el dolor y por el enfriamiento del cuerpo.
Hidroclorotiazida;https://medlineplus.gov/spanish/druginfo/meds/a682571-es.html;"La hidroclorotiazida se utiliza sola y en combinación con otros medicamentos para tratar la hipertensión arterial. La hidroclorotiazida se usa para tratar el edema (retención de líquido; exceso de líquido retenido en los tejidos corporales) causado por varios problemas médicos, incluyendo el corazón, el riñón y enfermedades del hígado y para tratar el edema causado por el uso de ciertos medicamentos, incluyendo estrógeno y corticosteroides. La hidroclorotiazida pertenece a una clase de medicamentos que se llaman diuréticos (""píldoras de agua""). Funciona provocando la eliminación por el riñón, a través de la orina, del agua y de sal innecesarias en el cuerpo."
Teofilina;https://medlineplus.gov/spanish/druginfo/meds/a681006-es.html;La teofilina se usa para prevenir y tratar las sibilancias,  la falta de aliento y la opresión en el pecho causada por el asma,  la bronquitis crónica,  el enfisema y otras enfermedades pulmonares. Relaja y abre las vías respiratorias en los pulmones, facilitando la respiración.
Acebutolol;https://medlineplus.gov/spanish/druginfo/meds/a687003-es.html;El acebutolol se usa para tratar la hipertensión. El acebutolol también se usa para tratar látidos cardíacos irregulares. El acebutolol se encuentra en una clase de medicamentos llamados bloqueadores beta. Funciona al relajar los vasos sanguíneos y la disminución de la frecuencia cardíaca para mejorar el flujo sanguíneo y disminuir la presión arterial.
Acetaminofén rectal;https://medlineplus.gov/spanish/druginfo/meds/a621016-es.html;El acetaminofeno rectal se utiliza para aliviar el dolor de leve a moderado por cefaleas o dolores musculares y para disminuir la fiebre. El acetaminofeno o paracetamol pertenece a una clase de medicamentos denominados analgésicos y antipiréticos (reductores de la fiebre). Su acción consiste en cambiar la manera en que el cuerpo responde al dolor y enfriar el cuerpo.
Pseudoefedrina;https://medlineplus.gov/spanish/druginfo/meds/a682619-es.html;La pseudoefedrina se usa para aliviar la congestión nasal ocasionada por los resfriados, las alergias y la fiebre del heno. También se usa para el alivio temporal de la congestión y la presión de los senos paranasales. La pseudoefedrina alivia los síntomas pero no trata la causa de éstos ni acelera la recuperación. La pseudoefedrina pertenece a una clase de medicamentos llamados descongestivos nasales. Actúa al estrechar los vasos sanguíneos de los conductos nasales.
Bromfeniramina;https://medlineplus.gov/spanish/druginfo/meds/a682545-es.html;"La bromfeniramina se usa para aliviar el enrojecimiento, la irritación, la picazón y el lagrimeo de los ojos; los estornudos; y la secreción nasal causados por las alergias, la fiebre del heno y el resfriado común. La bromfeniramina ayuda a controlar los síntomas, pero no cura su causa ni acelera la recuperación. La bromfeniramina no debe usarse para inducirles el sueño a los niños. La bromfeniramina pertenece a una clase de medicamentos llamados antihistamínicos. Actúa al bloquear la acción de la histamina, una sustancia del cuerpo que provoca los síntomas de alergia."
Guaifenesina;https://medlineplus.gov/spanish/druginfo/meds/a682494-es.html;La guaifenesina se usa para aliviar la congestión del pecho. La guaifenesina ayuda a aliviar los síntomas, pero no trata su causa ni acelera la recuperación. La guaifenesina pertenece a una clase de medicamentos llamados expectorantes. Actúa al disolver la mucosidad de los conductos respiratorios, de modo que sea más fácil expectorarla al toser y despejar así las vías respiratorias.
Zafirlukast;https://medlineplus.gov/spanish/druginfo/meds/a697007-es.html;El zafirlukast se usa para prevenir los síntomas del asma. El zafirlukast pertenece a una clase de medicamentos llamados antagonistas de los receptores de leukotriena (LTRAs, por su sigla en inglés). Funciona al bloquear la acción de ciertas sustancias naturales que causan inflamación de las vías aéreas.
Acarbose;https://medlineplus.gov/spanish/druginfo/meds/a696015-es.html;La acarbosa se usa (con un régimen de alimentación solamente o en combinación con un régimen alimenticio y medicamentos de otro tipo) para tratar la diabetes tipo 2 (una condición en la cual el cuerpo no puede usar en forma normal la insulina que produce y como consecuencia no puede controlar el nivel de azúcar en la sangre). La acarbosa funciona al desacelerar la acción de ciertos productos químicos que descomponen los alimentos para liberar glucosa (azúcar) a la sangre. La desaceleración de la digestión alimenticia ayuda a que el nivel de glucemia en la sangre no suba muy alto después de las comidas.
Peróxido de benzoilo Tópica;https://medlineplus.gov/spanish/druginfo/meds/a601026-es.html;El peróxido de benzoilo se usa para tratar el acné leve al moderado.
Cloroquina;https://medlineplus.gov/spanish/druginfo/meds/a682318-es.html;El fosfato de cloroquina se usa para prevenir y tratar la malaria.. También se usa para tratar la amebiasis. El fosfato de cloroquina pertenece a una clase de medicamentos llamados antimaláricos y amibicidas. Actúa eliminando los organismos que causan la malaria y la amebiasis.
Tobramicina oftálmica;https://medlineplus.gov/spanish/druginfo/meds/a682660-es.html;Oftálmico tobramicinase usa para las infecciones en los ojos.
Sulfasalazina;https://medlineplus.gov/spanish/druginfo/meds/a682204-es.html;La sulfasalazina se usa para tratar la inflamación intestinal, diarrea, hemorragia rectal y el dolor abdominal en los pacientes con la colitis ulcerosa (un trastorno que causa inflamación y úlceras en el revestimiento del colon [intestino grueso] y el recto). La sulfasalazina de liberación gradual (Azulfidine EN-tabs) también se usa para tratar la artritis reumatoide en los adultos y los niños en los que su enfermedad no ha respondido bien a otros medicamentos. La sulfasalazina pertenece a una clase de medicamentos llamados antiinflamatorios. Funciona al reducir la inflamación (hinchazón) dentro del cuerpo.
Inyección de zidovudina;https://medlineplus.gov/spanish/druginfo/meds/a601168-es.html;La inyección de zidovudina se utiliza junto con otros medicamentos para tratar la infección por el virus de inmunodeficiencia humana (VIH). La zidovudina se administra a mujeres embarazadas que son VIH positivo para reducir la posibilidad de contagiarle la infección al bebé. La inyección de zidovudina se encuentra en una clase de medicamentos llamados inhibidores nucleósidos de la transcriptasa inversa (nucleoside reverse transcriptase inhibitors, NRTI). Funciona al disminuir la cantidad de VIH en la sangre. Aunque la zidovudina no cura el VIH, puede reducir la posibilidad de desarrollar el síndrome de inmunodeficiencia adquirida (SIDA) y enfermedades relacionadas con el VIH como infecciones graves o cáncer. Usar o tomar estos medicamentos, junto con la práctica de relaciones sexuales seguras y hacer otros cambios en el estilo de vida, puede disminuir el riesgo de contagiar (esparcir) el virus del VIH a otras personas.
