Titulos;Puntuacion;Tipo;Precio;Enlace
Tropical Breeze Aeropuerto;9,1;Habitación Doble Estándar;1556100;https://www.booking.com/hotel/co/tropical-breeze-aeropuerto.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=444604301_133315399_2_0_0&highlighted_blocks=444604301_133315399_2_0_0&matching_block_id=444604301_133315399_2_0_0&sr_pri_blocks=444604301_133315399_2_0_0__155610000&from=searchresults#hotelTmpl
Inn Bless Aparthotel;8,0;Habitación Doble con baño privado;1024160;https://www.booking.com/hotel/co/inn-bless-apartment.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=230650403_99951873_2_0_0&highlighted_blocks=230650403_99951873_2_0_0&matching_block_id=230650403_99951873_2_0_0&sr_pri_blocks=230650403_99951873_2_0_0__102414375&from=searchresults#hotelTmpl
Posada mis kendy;Sin puntos;Apartamento de 2 dormitorios;1120000;https://www.booking.com/hotel/co/posada-mis-kendy-san-andres-islas.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=827791601_347325292_2_0_0&highlighted_blocks=827791601_347325292_2_0_0&matching_block_id=827791601_347325292_2_0_0&sr_pri_blocks=827791601_347325292_2_0_0__112000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Decameron Isleño - All Inclusive;7,6;Habitación Doble;10640600;https://www.booking.com/hotel/co/el-islea-o-by-decameron.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=81701302_335401155_2_85_0&highlighted_blocks=81701302_335401155_2_85_0&matching_block_id=81701302_335401155_2_85_0&sr_pri_blocks=81701302_335401155_2_85_0__1064058100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Posada Turística Miss Geidy;8,6;Habitación Doble Básica;1050000;https://www.booking.com/hotel/co/posada-nativa-miss-geidy.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=100600002_295577857_0_0_0&highlighted_blocks=100600002_295577857_0_0_0&matching_block_id=100600002_295577857_0_0_0&sr_pri_blocks=100600002_295577857_0_0_0__105000000&from=searchresults#hotelTmpl
Casa Hostel San Andres;8,2;Habitación Doble Estándar con ventilador;700000;https://www.booking.com/hotel/co/casa-hostel-san-andres.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=175871308_278752828_0_0_0&highlighted_blocks=175871308_278752828_0_0_0&matching_block_id=175871308_278752828_0_0_0&sr_pri_blocks=175871308_278752828_0_0_0__70000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
SWEET BREEZE;9,7;Apartamento Estándar;1253000;https://www.booking.com/hotel/co/sweet-breeze.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=682342303_279064315_2_0_0&highlighted_blocks=682342303_279064315_2_0_0&matching_block_id=682342303_279064315_2_0_0&sr_pri_blocks=682342303_279064315_2_0_0__125300000&from=searchresults#hotelTmpl
White Coral ApartaSuites;8,6;Suite Junior de 1 dormitorio ;5162580;https://www.booking.com/hotel/co/red-coral-aparta-suites.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=120240502_89189688_2_0_0&highlighted_blocks=120240502_89189688_2_0_0&matching_block_id=120240502_89189688_2_0_0&sr_pri_blocks=120240502_89189688_2_0_0__516256125&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Apartamento Miss Brigida;8,7;Habitación Doble;1540000;https://www.booking.com/hotel/co/apartamento-miss-brigida.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=85765703_335402365_2_0_0&highlighted_blocks=85765703_335402365_2_0_0&matching_block_id=85765703_335402365_2_0_0&sr_pri_blocks=85765703_335402365_2_0_0__154000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Danisha's Place III;Fantástico 9,0;Apartamento de 2 dormitorios;2100000;https://www.booking.com/hotel/co/danisha-s-place-iii.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=739666301_339009782_5_0_0&highlighted_blocks=739666301_339009782_5_0_0&matching_block_id=739666301_339009782_5_0_0&sr_pri_blocks=739666301_339009782_5_0_0__210000000&from=searchresults#hotelTmpl
HERMOSO APARTAMENTO CARAMEL;Sin puntos;Apartamento de 2 dormitorios;2126680;https://www.booking.com/hotel/co/hermoso-apartamento-caramel.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=825617601_346990689_2_0_0&highlighted_blocks=825617601_346990689_2_0_0&matching_block_id=825617601_346990689_2_0_0&sr_pri_blocks=825617601_346990689_2_0_0__212667000&from=searchresults#hotelTmpl
posada shang giovis rincon;Sin puntos;Habitación Familiar con baño privado;1666000;https://www.booking.com/hotel/co/posada-shang-giovis-rincon.es.html?label=gen173nr-1FCAEoggI46AdIM1gEaDKIAQGYAQq4ARfIAQzYAQHoAQH4AQuIAgGoAgO4Asyvs40GwAIB0gIkZTRjOWZjOTEtZDhjYy00ZWY5LWJhMzQtMGFhNzBiNTY0M2Yw2AIG4AIB&sid=420dd3018f25fed92757eeb7bc5adc9e&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-23&checkout=2022-06-30&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=distance_from_search&srpvid=dd2c78484bc00205&srepoch=1651511186&all_sr_blocks=845574501_351523320_2_0_0&highlighted_blocks=845574501_351523320_2_0_0&matching_block_id=845574501_351523320_2_0_0&sr_pri_blocks=845574501_351523320_2_0_0__166600000&from=searchresults#hotelTmpl
