Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Wed May 04 02:05:04 +0000 2022;7471.0;230.0;;Bogotá, D.C., Colombia;1521672225631444992;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;Lizyas2312;1.503024075018584e+18;Liz Yadira;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:05:04 +0000 2022;59534.0;502.0;;;1521672224461238272;Iván Duque denunciará a Gerlein porque a su campaña sólo le llegaron 3000 millones.;LuisZap11484844;1.1293947639150469e+18;Luis Zapata;0.0;;[]
Wed May 04 02:05:01 +0000 2022;6950.0;761.0;;Neiva, Colombia;1521672214369734656;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;Adolfocovaleda1;1.254251079090475e+18;Adolfocovaledarivas;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:05:00 +0000 2022;20395.0;513.0;;;1521672209093304325;#Atención La excongresista Aída Merlano le dijo a la Corte que 6 mil millones de los Gerleín llegaron a la campaña de Iván Duque. Dice que se usaron 18 mil millones para corrupción electoral. https://t.co/S5TWMqP5jJ;PardoMaicol;922025599.0;Maicol Sanchez;0.0;;[]
Wed May 04 02:05:00 +0000 2022;28246.0;701.0;;;1521672207927332866;Iván Duque denunciará a Gerlein porque a su campaña sólo le llegaron 3000 millones.;CiudadanoArist1;1.154505097596035e+18;Ciudadano Antropólogo;0.0;;[]
Wed May 04 02:04:58 +0000 2022;54900.0;6321.0;;Polombia;1521672200130109440;;Jorgesanz1986;8.066946622117724e+17;MARBELLO 🧑‍🦱;0.0;;[{'url': 'https://t.co/wDBJvyyDtd', 'expanded_url': 'https://twitter.com/i/web/status/1521672200130109440', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]
Wed May 04 02:04:57 +0000 2022;193.0;243.0;;;1521672197256929280;El silencio de Federico Gutiérrez y de su jefe de campaña, Iván Duque, sobre el plan para atentar contra @petrogustavo, revela su estatura moral.;JulioMarwy;1.5060921644173066e+18;Marwy Jaseph Julio Lozano;0.0;;[]
Wed May 04 02:04:51 +0000 2022;11742.0;949.0;;;1521672170434449408;Jamás me he reunido con Aida Merlano: Iván Duque https://t.co/1iJt6sWGK3;NiraySolDJP;1.1425654918164439e+18;Niray García García;0.0;;[{'url': 'https://t.co/1iJt6sWGK3', 'expanded_url': 'https://www.rcnradio.com/politica/jamas-me-he-reunido-con-aida-merlano-presidente-ivan-duque', 'display_url': 'rcnradio.com/politica/jamas…', 'indices': [63, 86]}]
Wed May 04 02:04:42 +0000 2022;191236.0;2934.0;;;1521672132903804928;Jamás me he reunido con Aida Merlano: Iván Duque https://t.co/1iJt6sWGK3;Tulio_DD;3063538541.0;tduqued;0.0;;[{'url': 'https://t.co/1iJt6sWGK3', 'expanded_url': 'https://www.rcnradio.com/politica/jamas-me-he-reunido-con-aida-merlano-presidente-ivan-duque', 'display_url': 'rcnradio.com/politica/jamas…', 'indices': [63, 86]}]
Wed May 04 02:04:37 +0000 2022;148.0;227.0;;;1521672114029404160;Aida Merlano afirmó que se usaron dineros de la Nación para financiar la campaña de Iván Duque https://t.co/zlAz0geBIs;jones1347;221030337.0;luis alberto jones n;0.0;;[{'url': 'https://t.co/zlAz0geBIs', 'expanded_url': 'https://www.lafm.com.co/judicial/aida-merlano-afirmo-que-se-usaron-dineros-de-la-nacion-para-financiar-la-campana-de-ivan?t=1651622899', 'display_url': 'lafm.com.co/judicial/aida-…', 'indices': [105, 128]}]
